Trial Number,Physical Trigger Time,Unified Log Time,Drift (Seconds)
1,2026-05-20 13:23:12.963969,2026-05-20 13:23:14.134160,1.170191
2,2026-05-20 13:23:38.618645,2026-05-20 13:23:39.911568,1.292923
3,2026-05-20 13:24:04.264865,2026-05-20 13:24:05.533851,1.268986
4,2026-05-20 13:24:29.849433,2026-05-20 13:24:31.332224,1.482791
5,2026-05-20 13:24:55.492734,2026-05-20 13:24:56.429801,0.937067
6,2026-05-20 13:25:21.080173,2026-05-20 13:25:21.952042,0.871869
7,2026-05-20 13:25:46.682773,2026-05-20 13:25:47.703692,1.020919
8,2026-05-20 13:26:12.256965,2026-05-20 13:26:13.447629,1.190664
9,2026-05-20 13:26:37.830796,2026-05-20 13:26:39.051387,1.220591
10,2026-05-20 13:27:03.604764,2026-05-20 13:27:04.650315,1.045551
11,2026-05-20 13:27:29.170492,2026-05-20 13:27:30.166187,0.995695
12,2026-05-20 13:27:54.733689,2026-05-20 13:27:55.817848,1.084159
13,2026-05-20 13:28:20.373385,2026-05-20 13:28:22.001515,1.62813
14,2026-05-20 13:28:45.933454,2026-05-20 13:28:47.105443,1.171989
15,2026-05-20 13:29:11.699991,2026-05-20 13:29:12.945034,1.245043
16,2026-05-20 13:29:37.309127,2026-05-20 13:29:38.446525,1.137398
17,2026-05-20 13:30:02.925320,2026-05-20 13:30:04.096428,1.171108
18,2026-05-20 13:30:28.590879,2026-05-20 13:30:29.743242,1.152363
19,2026-05-20 13:30:54.206500,2026-05-20 13:30:55.418261,1.211761
20,2026-05-20 13:31:19.855431,2026-05-20 13:31:21.306869,1.451438
