Trial,Trigger Time,Log Time,Log Drift (s),Paired WAL Drift (s),Other WAL Drift (s),Plist Drift (s)
1,2026-05-25 17:15:28.348476,2026-05-25 17:15:30.138869,1.790393,No Change,No Change,No Change
2,2026-05-25 17:15:49.605349,2026-05-25 17:15:51.450004,1.844655,No Change,No Change,No Change
3,2026-05-25 17:16:10.256114,2026-05-25 17:16:12.146698,1.890584,No Change,No Change,No Change
4,2026-05-25 17:16:30.756788,2026-05-25 17:16:32.732538,1.97575,No Change,No Change,No Change
5,2026-05-25 17:16:51.571422,2026-05-25 17:16:53.469012,1.89759,No Change,No Change,No Change
6,2026-05-25 17:17:12.026299,2026-05-25 17:17:15.134797,3.108498,No Change,No Change,No Change
7,2026-05-25 17:17:33.310034,2026-05-25 17:17:35.319477,2.009443,No Change,No Change,No Change
8,2026-05-25 17:17:53.694326,2026-05-25 17:17:55.303300,1.608974,No Change,No Change,No Change
9,2026-05-25 17:18:14.121412,2026-05-25 17:18:15.844529,1.723117,No Change,No Change,No Change
10,2026-05-25 17:18:34.274867,2026-05-25 17:18:36.026272,1.751405,No Change,No Change,No Change
11,2026-05-25 17:18:54.564134,2026-05-25 17:18:55.837065,1.272931,No Change,No Change,No Change
12,2026-05-25 17:19:14.411271,2026-05-25 17:19:15.824262,1.412991,No Change,No Change,No Change
13,2026-05-25 17:19:33.800697,2026-05-25 17:19:35.824399,2.023702,No Change,No Change,No Change
14,2026-05-25 17:19:54.374962,2026-05-25 17:19:56.432590,2.057628,No Change,No Change,No Change
15,2026-05-25 17:20:15.127345,2026-05-25 17:20:16.929607,1.802262,No Change,No Change,No Change
16,2026-05-25 17:20:35.126937,2026-05-25 17:20:36.855238,1.728301,No Change,No Change,No Change
17,2026-05-25 17:20:55.445033,2026-05-25 17:20:56.825585,1.380552,No Change,No Change,No Change
18,2026-05-25 17:21:15.629537,2026-05-25 17:21:18.124993,2.495456,No Change,No Change,No Change
19,2026-05-25 17:21:36.823950,2026-05-25 17:21:38.817062,1.993112,No Change,No Change,No Change
20,2026-05-25 17:21:57.411702,2026-05-25 17:21:59.429260,2.017558,No Change,No Change,No Change
